Компания,Сайт,Email,Статус почты,Имя ЛПР,Должность,Источник имени,ИНН,Сигнал (вакансия),Ссылка на вакансию,Страница на hh,Заголовок сайта,Примечание
ООО Белоярский Трубный Завод,https://btz96.ru/,sale@btz96.ru,valid,Беляева Ольга Владимировна,директор,ЕГРЮЛ,6670484333,"Менеджер по продажам металлопроката (НАЛИЧИЕ НА СКЛАДЕ, входящие заявки)",https://saratov.hh.ru/vacancy/132714540,https://hh.ru/employer/5653580,Белоярский трубный завод - Официальный сайт ООО,ок
ООО Торговый Дом Тула-Сталь,https://td.tula-steel.ru/,sales_spb@td.tula-steel.ru,valid,Стариков Дмитрий Анатольевич,генеральный директор,ЕГРЮЛ,7725495000,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/135537401,https://hh.ru/employer/4576490,Торговый дом «Тула-Сталь» — металлопрокат оптом от производителя,ок
ООО Производственный центр Этернопром,https://eternoprom.ru/,moscow@eternoprom.ru,valid,Габриелян Артем Вадимович,директор,ЕГРЮЛ,9725190556,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/134877906,https://hh.ru/employer/12251461,ЭтерноПром: металлопрокат в Москве и по всей России,ок
СтальЭнерго-96 Юг,https://rostov-na-donu.stalenergo-96.ru/,rnd@steel-se.ru,valid,Кондратьев Николай Алексеевич,директор,ЕГРЮЛ,6686049135,Менеджер по продажам,https://saratov.hh.ru/vacancy/135114677,https://hh.ru/employer/5385823,Металлопрокат купить по цене от производителя в Ростове-на-Дону,адрес не на домене сайта; ок
ООО ПО «Трубное решение»,https://truboproduct.ru/,nsk@truboproduct.ru,valid,Клочкова Екатерина Валерьевна,руководитель отдела продаж,сайт компании,,Менеджер по работе с клиентами,https://saratov.hh.ru/vacancy/135123199,https://hh.ru/employer/2678380,Крупнейшая металлобаза от оптового поставщика металлопроката в Новосибирске | Трубное Решение,ок
ООО УВМ-СТАЛЬ,https://uvm-steel.ru/,msk@uvm-steel.ru,valid,Жданов Антон Валерьевич,коммерческий директор,сайт компании,,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/134732517,https://hh.ru/employer/3220349,"УВМ-Сталь - металлопрокат в Москве и РФ | арматура, лист, катанка",ок
ООО СОЛДРИМ-СПб,https://soldream-spb.com/,soldream-spb@soldream-spb.com,valid,Чуева Яна Олеговна,генеральный директор,ЕГРЮЛ,4707020337,Менеджер по продажам металлообрабатывающих станков с ЧПУ,https://saratov.hh.ru/vacancy/133410508,https://hh.ru/employer/1963147,Металлообрабатывающее оборудование с ЧПУ - СОЛДРИМ-СПб,ок
АО КАМАДИ,https://www.metrologi.ru/,meritel@metrologi.ru,valid,Каневский Максим Юрьевич,генеральный директор,сайт компании,,Менеджер по проектным продажам B2B (промышленность)/Руководитель направления,https://saratov.hh.ru/vacancy/135094200,https://hh.ru/employer/1462503,"Измерительное оборудование, контроль качества | Официальный поставщик в России МС Метролоджи",ок
Онлайн-школа Тетрика,https://tetrika-school.ru/,hi@tetrika-school.ru,valid,,,,,Менеджер по продажам на вводный урок (теплая база),https://saratov.hh.ru/vacancy/134704649,https://hh.ru/employer/3731347,Онлайн-школа Тетрика — подготовка к ЕГЭ и ОГЭ с репетитором,ок
ПЕНОПЛЭКС,https://www.penoplex.ru/,penoplex@penoplex.ru,valid,,,,,Региональный менеджер (по работе со строительными объектами),https://saratov.hh.ru/vacancy/133972762,https://hh.ru/employer/33614,ПЕНОПЛЭКС-официальный сайт производителя теплоизоляции,в реестре 3 похожих компаний — имя не подставляю; ок
ООО Глобал Климат,https://globalclimat.com/,zakaz63@globalclimat.com,valid,,,,,Менеджер по продажам вентиляционного оборудования,https://saratov.hh.ru/vacancy/135141724,https://hh.ru/employer/939441,Официальный сайт «Глобал Климат» -Вентиляционное и холодильное оборудование,в реестре 9 похожих компаний — имя не подставляю; ок
"ЭТМ, компания",https://www.etm.ru/,8800@etm.ru,valid,,,,,Менеджер по развитию систем безопасности и ОПС,https://saratov.hh.ru/vacancy/134672844,https://hh.ru/employer/30151,"Интернет-магазин ЭТМ iPRO – электрика, свет, сантехника, безопасность, СКС",ок
ИнтелМед,https://intelmed.ru/,intelmed@intelmed.ru,valid,,,,,Менеджер по продажам (медицинское оборудование),https://saratov.hh.ru/vacancy/135470820,https://hh.ru/employer/12701,Медицинское оборудование – продажа и поставка приборов и оборудования для медицинских учреждений,в реестре 20 похожих компаний — имя не подставляю; ок
ООО Анэп,https://anepmetall.ru/,moskva@anepmetall.ru,valid,,,,,Менеджер по продажам Металлопрокат,https://saratov.hh.ru/vacancy/135273768,https://hh.ru/employer/2561637,"Металлопрокат - оптом, в Москве. База металлопроката - АНЭП-Металл ☎️ +7 (495) 487-08-14",в реестре 4 похожих компаний — имя не подставляю; ок
НПК Специальная металлургия,https://nn.specstali.ru/,nn@specstali.ru,valid,,,,,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/135518940,https://hh.ru/employer/3396503,"Купить цветной металлопрокат оптом и в розницу по низкой цене в Нижнем Новгороде — ООО""НПК""Специальная металлургия""",в реестре 8 похожих компаний — имя не подставляю; ок
Велунд Сталь,https://spb.gkws.ru/,spb@gkws.ru,valid,,,,,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/135470929,https://hh.ru/employer/4790707,"Металлопрокат: купить черные и цветные металлы, сплавы, кабели в Санкт-Петербурге оптом | Велунд сталь",ок
ООО Регион Сталь,https://regionstal.ru/,orders@regstal.ru,valid,,,,,Менеджер по продажам логистики,https://saratov.hh.ru/vacancy/135143408,https://hh.ru/employer/1508452,Металлопрокат купить в Санкт-Петербурге оптом и в розницу Металлобаза цена за тонну Регион,адрес не на домене сайта; в реестре 18 похожих компаний — имя не подставляю; ок
ООО ПТК,https://pt-k.ru/,pt-k@pt-k.ru,valid,,,,,Менеджер по продажам металлопроката,https://saratov.hh.ru/vacancy/133746853,https://hh.ru/employer/561362,"Металлопрокат Ростов-на-Дону: купить арматуру, швеллер, уголок, трубы, листы и балки оптом и в розницу по доступным ценам",в реестре 14 похожих компаний — имя не подставляю; ок
ООО «Торговый дом ММК»,https://mmk.ru/ru/,infommk@mmk.ru,valid,,,,,"Менеджер по продажам металлопроката г. Пермь (""Торговый дом ММК"")",https://saratov.hh.ru/vacancy/133496472,https://hh.ru/employer/824486,ПАО «Магнитогорский металлургический комбинат» — официальный сайт,в реестре 5 похожих компаний — имя не подставляю; ок
ГКС Альянс,https://gksalliance.ru/,welcome@gksalliance.ru,valid,,,,,Специалист по продажам / Менеджер по продажам,https://saratov.hh.ru/vacancy/134804087,https://hh.ru/employer/2162216,Холдинг ГКС Альянс,ок
ООО АКС,https://акс31.рф/,sale@aks-sale.ru,valid,,,,,Менеджер по продажам,https://saratov.hh.ru/vacancy/135220811,https://hh.ru/employer/2790724,Комплексное снабжение строительных объектов в Белгороде | Поставщик инженерных систем АКС,адрес не на домене сайта; в реестре 19 похожих компаний — имя не подставляю; ок
АО Р-Сталь,https://www.rosmark.ru/,stanok@rosmark.ru,valid,,,,,Менеджер по продажам (отрезных станков),https://saratov.hh.ru/vacancy/134833203,https://hh.ru/employer/32880,"Производство ленточных пил для обработки металла, продажа станков, запчастей, купить металлообрабатывающий станок в Р-Сталь. Большой выбор пил, гарантии качества, подбор по характеристикам",адрес не на домене сайта; в реестре 6 похожих компаний — имя не подставляю; ок
ООО Стилмак,https://www.v-hold.ru/,stanki@v-hold.ru,valid,,,,,Менеджер по продажам и ведению проектов (металлообрабатывающее оборудование),https://saratov.hh.ru/vacancy/134828813,https://hh.ru/employer/11556843,Деревообрабатывающее оборудование и станки для металлообработки от компании «LESPT» и компании «CTMC»,в реестре 6 похожих компаний — имя не подставляю; ок
