#,Компания,Email,Сайт,Статус,Найденные проблемы,Сходство имя/домен,Как сайт называет себя,Предлагаемый сайт,Уверенность,Обоснование
1,Mingwen Intelligent,sales01@mgwmachine.com,mgwmachine.com,требует проверки,название не бьётся с доменом (сходство 50); сайт представляется иначе: «铭文机床 – 浙江铭文智能科技有限公司»,50,铭文机床 – 浙江铭文智能科技有限公司,,средняя,
2,HNC,sales@hnc.su,hnc.su,ok,,100,HNC Electric - Решения АСУТП и управления движением,,высокая,
3,Tengzhong Machinery,sales01@nttzmt.com,uncomtech.ru,требует проверки,домен почты (nttzmt.com) не совпадает с сайтом (uncomtech.ru); название не бьётся с доменом (сходство 35); сайт представляется иначе: «Главная страница»,35,Главная страница,,средняя,
4,Tesid Equipment,sales@unimach.ru,unimach.ru,требует проверки,название не бьётся с доменом (сходство 30); сайт представляется иначе: «Оборудование / Юнимаш»,30,Оборудование / Юнимаш,,средняя,
5,ТД Ункомтех,sales@thebestcnc.com,saintymachine.com,перепутан сайт,домен почты (thebestcnc.com) не совпадает с сайтом (saintymachine.com); тот же сайт указан у другой компании: Shixinghong Precision; название не бьётся с доменом (сходство 30); сайт представляется иначе: «Sainty Machinery»,30,Sainty Machinery,uncomtech.ru,высокая,«ТД Ункомтех» совпадает с uncomtech.ru на 100 — этот домен лежит как сайт строки 3
6,JAT Cemented Carbide,sales@jillionsupply.com,jillionsupply.com,перепутан сайт,"название не бьётся с доменом (сходство 19); сайт представляется иначе: «Motors and Actuators,Servo,Inverter,Sensors,Robots,Spare Par»",19,"Motors and Actuators,Servo,Inverter,Sensors,Robots,Spare Parts,Smart Lift Pillar,Industrial Control System and Equipment",jat-carbide.com,высокая,«JAT Cemented Carbide» совпадает с jat-carbide.com на 100 — этот домен лежит как сайт строки 7
7,Rogen Technologies,sales@jatcarbide.com,jat-carbide.com,не проверено,домен почты (jatcarbide.com) не совпадает с сайтом (jat-carbide.com); название не бьётся с доменом (сходство 27); сайт не открылся — проверить вручную,27,,,низкая,
8,Искролайн,sales@iskroline.ru,iskroline.ru,ok,,89,Спектрометры «ИСКРОЛАЙН»: Российский производитель атомно-эмиссионных спектрометров - «ИСКРОЛАЙН»,,высокая,
9,Jimmy CNC Tool,sales@jimmytool.com,jimmytool.com,ok,,100,Quality Carbide End Mill Manufacturer for 15 Years - JimmyTool  Carbide Milling Cutter,,высокая,
10,Ezhong Heavy Machinery,sales@ezhonggroup.com,ezhonggroup.com,ok,,71,"Metal Forming/Rolling/Leveling/Pressing Machine, Sheet Metal Roll Forming Machine | EZHONG",,высокая,
11,Shixinghong Precision,swyct@126.com,saintymachine.com,требует проверки,бесплатный ящик при заявленном корпоративном сайте; домен почты (126.com) не совпадает с сайтом (saintymachine.com); тот же сайт указан у другой компании: ТД Ункомтех; название не бьётся с доменом (сходство 43); сайт представляется иначе: «Sainty Machinery»,43,Sainty Machinery,,средняя,
12,Internor Machinery,sales@internor.com.cn,internor-mach.com,требует проверки,домен почты (internor.com.cn) не совпадает с сайтом (internor-mach.com); сайт представляется иначе: «»,84,,,средняя,
13,РИЦ Техносфера,sales@technosphera.ru,technosphera.ru,ok,,100,Техносфера -,,высокая,
14,Howfit Science,sales@howfit-press.com,howfit-press.com,ok,,71,High Speed Press | Metal Press Machine | Stamping Press - Howfit,,высокая,
15,Fengyi Yinhu,sales@fengyitool.com,fengyitool.com,требует проверки,название не бьётся с доменом (сходство 60); сайт представляется иначе: «成都锋宜精密工具制造有限公司【官方网站】»,60,成都锋宜精密工具制造有限公司【官方网站】,,средняя,
