#,Компания,Email,Сайт,Статус,Найденные проблемы,Сходство имя/домен,Как сайт называет себя,Предлагаемый сайт,Уверенность,Обоснование
1,ООО Белоярский Трубный Завод,sale@btz96.ru,https://btz96.ru/,требует проверки,название не бьётся с доменом (сходство 21),21,,,средняя,
2,ООО Торговый Дом Тула-Сталь,sales_spb@td.tula-steel.ru,https://td.tula-steel.ru/,требует проверки,название не бьётся с доменом (сходство 19),19,,,средняя,
3,ООО Производственный центр Этернопром,moscow@eternoprom.ru,https://eternoprom.ru/,ok,,100,,,высокая,
4,СтальЭнерго-96 Юг,rnd@steel-se.ru,https://rostov-na-donu.stalenergo-96.ru/,требует проверки,домен почты (steel-se.ru) не совпадает с сайтом (rostov-na-donu.stalenergo-96.ru); название не бьётся с доменом (сходство 37),37,,,средняя,
5,ООО ПО «Трубное решение»,nsk@truboproduct.ru,https://truboproduct.ru/,требует проверки,название не бьётся с доменом (сходство 41),41,,,средняя,
6,ООО УВМ-СТАЛЬ,msk@uvm-steel.ru,https://uvm-steel.ru/,ok,,80,,,высокая,
7,ООО СОЛДРИМ-СПб,soldream-spb@soldream-spb.com,https://soldream-spb.com/,ok,,86,,,высокая,
8,АО КАМАДИ,meritel@metrologi.ru,https://www.metrologi.ru/,требует проверки,название не бьётся с доменом (сходство 27),27,,,средняя,
9,Онлайн-школа Тетрика,hi@tetrika-school.ru,https://tetrika-school.ru/,требует проверки,название не бьётся с доменом (сходство 58),58,,,средняя,
10,ПЕНОПЛЭКС,penoplex@penoplex.ru,https://www.penoplex.ru/,ok,,82,,,высокая,
11,ООО Глобал Климат,zakaz63@globalclimat.com,https://globalclimat.com/,ok,,100,,,высокая,
12,"ЭТМ, компания",8800@etm.ru,https://www.etm.ru/,ok,,100,,,высокая,
13,ИнтелМед,intelmed@intelmed.ru,https://intelmed.ru/,ok,,100,,,высокая,
14,ООО Анэп,moskva@anepmetall.ru,https://anepmetall.ru/,требует проверки,название не бьётся с доменом (сходство 57),57,,,средняя,
15,НПК Специальная металлургия,nn@specstali.ru,https://nn.specstali.ru/,требует проверки,домен почты (specstali.ru) не совпадает с сайтом (nn.specstali.ru); название не бьётся с доменом (сходство 14),14,,,средняя,
16,Велунд Сталь,spb@gkws.ru,https://spb.gkws.ru/,требует проверки,домен почты (gkws.ru) не совпадает с сайтом (spb.gkws.ru); название не бьётся с доменом (сходство 15),15,,,средняя,
17,ООО Регион Сталь,orders@regstal.ru,https://regionstal.ru/,требует проверки,домен почты (regstal.ru) не совпадает с сайтом (regionstal.ru),100,,,средняя,
18,ООО ПТК,pt-k@pt-k.ru,https://pt-k.ru/,ok,,100,,,высокая,
19,ООО «Торговый дом ММК»,infommk@mmk.ru,https://mmk.ru/ru/,ok,,100,,,высокая,
20,ГКС Альянс,welcome@gksalliance.ru,https://gksalliance.ru/,ok,,80,,,высокая,
21,ООО АКС,sale@aks-sale.ru,https://акс31.рф/,требует проверки,домен почты (aks-sale.ru) не совпадает с сайтом (акс31.рф),75,,,средняя,
22,АО Р-Сталь,stanok@rosmark.ru,https://www.rosmark.ru/,требует проверки,название не бьётся с доменом (сходство 50),50,,,средняя,
23,ООО Стилмак,stanki@v-hold.ru,https://www.v-hold.ru/,требует проверки,название не бьётся с доменом (сходство 27),27,,,средняя,
